# DATE, LAT, LON, ROT, HAN, RAT, HGT
b'2010-12-12T08:39:00.005',47.000000169529294,127.99999900846505,-26.99999904379616,12.000000333930423,0.23999999463558197,8.100000381469727
b'2010-12-14T16:54:00.005',45.999999003336896,170.11099758142342,-74.99999867197056,19.99999941818584,0.4000000059604645,8.199999809265137
b'2011-03-17T13:54:00.008',-24.000000667860846,190.00000301050196,30.000000834826057,45.00000125223908,0.44999998807907104,8.600000381469727
b'2011-06-05T08:54:00.021',33.99999866940647,328.00000002051263,-31.999999752116263,28.000000209988553,0.33000001311302185,9.699999809265137
b'2013-01-23T16:24:00.007',42.00000116875648,15.999999876058132,15.000000417413029,15.000000417413029,0.4000000059604645,8.800000190734863
b'2013-01-29T05:24:00.006',63.99999950423253,334.9999876932919,66.99999617262056,11.499999750834224,0.27000001072883606,7.0
b'2013-02-09T07:54:00.005',26.270999293302356,180.00000500895632,84.99999667351618,15.000000417413029,0.30000001192092896,8.5
b'2013-04-24T07:39:00.006',-50.0000002530119,125.00000234007703,-54.999999253784715,6.499999896287763,0.28999999165534973,7.75
b'2013-05-02T06:39:00.006',36.00000100179127,182.40738714419737,-79.99999767274336,16.999999334703237,0.2750000059604645,7.300000190734863
b'2013-05-17T22:39:00.005',-50.0000002530119,115.00000433853141,-79.99999767274336,15.000000417413029,0.33000001311302185,8.100000381469727
b'2013-05-27T21:54:00.005',-50.0000002530119,54.999999253784715,-19.99999941818584,16.999999334703237,0.4000000059604645,8.699999809265137
b'2013-06-08T00:24:00.005',-61.99999717184774,120.00000333930423,-69.99999967119774,8.385299446845949,0.44999998807907104,7.300000190734863
