,id,date,lon1,lat1,lon2,lat2,lenght,lon_middle,lat_middle,tilt_angle
0,1,2010-12-12 01:30:00,46.5,56.7,182.0,59.5,711210.9012298109,108.76793335350459,76.67932851201289,1.4421860686751444
1,2,2010-12-14 13:37:00,166.0,40.2,181.0,13.5,361420.00206171116,174.40611691307944,27.045973914016287,-64.39728745250639
2,3,2011-03-17 12:21:00,183.0,-18.6,184.0,-24.4,71324.34751024628,183.49002242489112,-21.500743668353284,-80.90639030472722
3,4,2011-06-05 03:55:00,323.0,41.2,352.0,28.2,327498.8031447862,338.6688467015113,35.567242318921075,-29.27045072270408
4,5,2013-01-23 13:06:00,342.0,25.8,12.5,4.5,438916.6058165173,358.0452793834438,15.674764977282695,-37.699821987289994
5,6,2013-01-29 01:18:00,303.0,42.1,316.0,38.7,126944.16584801479,309.66489150024864,40.582346248439165,-19.01900124379061
6,7,2013-02-09 05:40:00,167.0,30.5,178.0,20.5,170897.97710684096,172.73022107259234,25.60270266890518,-45.49622521442439
7,8,2013-04-24 05:16:00,131.0,-29.6,158.0,-30.7,283122.4575710126,144.42330082812128,-30.852006391044938,-2.7606034875988135
8,9,2013-05-02 04:58:00,197.0,12.9,199.0,11.0,33115.41331443598,198.00350987900865,11.95176795472846,-44.17028560424759
9,10,2013-05-17 18:56:00,130.0,-42.0,151.0,-21.5,328237.8077961302,141.68811905020468,-32.179010546761425,49.87830741267485
10,11,2013-05-27 18:16:00,33.0,-29.0,74.0,-27.3,437236.44053737767,53.670058999155536,-29.73697942414286,2.845942853545138
11,12,2013-06-07 22:11:00,122.0,-34.0,128.0,-26.0,115769.89370449209,125.12122741456356,-30.03398037798424,57.124235431641424
