Start-fecha,End-fecha,Start -Time,End - Time,NOAA AR
2010.12.14,2010.12.14,11:30:00,17:00:00,"11133,11134"
2011.06.05,2011.06.05,03:00:00,11:00:00,"11231,11232"
2013.01.23,2013.01.23,12:00:00,18:00:00,11661
2013.01.29,2013.01.29,01:00:00,08:00:00,11662
2013.02.09,2013.02.09,05:00:00,10:00:00,"11669,11670"
2013.05.02,2013.05.02,04:00:00,10:00:00,11731
2013.06.07,2013.06.08,21:00:00,05:00:00,11762
2011.02.03,2011.03.03,20:00:00,05:00:00,11165
2013.05.02,2013.06.02,23:30:00,03:00:00,11667
2013.12.03,2013.12.03,15:00:00,09:45:00,“11690,11691”
2013.05.31,2013.05.31,22:00:00,15:00:00,11755
2013.05.06,2013.05.06,14:30:00,08:30:00,“11762,11763”
